words,image,words_id,英雄
【被动技能】\n死亡时提供法力值。升阶后死亡提供法力值上升。,140005501,10011,克洛斯
【被动技能】\n死亡时提供较多法力值。,140005501,10012,克洛斯
【被动技能】\n暂未开放，敬请期待,140005501,10013,克洛斯
【被动技能】\n可以通过飞行走捷径。升阶后降低飞行时受到的伤害。,110003501,10021,格里芬
"【被动技能】\n可以通过飞行走捷径,降低飞行时受到的伤害。",110003501,10022,格里芬
【被动技能】\n暂未开放，敬请期待,110003501,10023,格里芬
【被动技能】\n受到一定攻击次数后提盾行走。升阶后提升提盾防御时间。,110002601,10031,贝林
【被动技能】\n受到一定攻击次数后提盾行走，提盾时间延长。,110002601,10032,贝林
【被动技能】\n暂未开放，敬请期待,110002601,10033,贝林
【被动技能】\n高魔抗，低物抗。升阶后物抗提高。,130004601,10041,米斯特
【被动技能】\n高魔抗。,130004601,10042,米斯特
【被动技能】\n暂未开放，敬请期待,130004601,10043,米斯特
【被动技能】\n破盾突进。升阶后降低突进时受到的伤害。,120001301,10051,罗兰
【被动技能】\n破盾突进，突进时受到伤害降低。,120001301,10052,罗兰
【被动技能】\n暂未开放，敬请期待,120001301,10053,罗兰
【被动技能】\n死亡时治疗周围的友军。升阶后提高治疗量。,120005601,10061,安洁
【被动技能】\n死亡时治疗周围的友军。,120005601,10062,安洁
【被动技能】\n暂未开放，敬请期待,120005601,10063,安洁
【被动技能】\n格挡。升阶后提升格挡时间。,110004101,10071,布莱德瓦登
【被动技能】\n格挡时间延长。,110004101,10072,布莱德瓦登
【被动技能】\n暂未开放，敬请期待,110004101,10073,布莱德瓦登
【被动技能】\n初级魔抗。升阶后进一步提升魔法抗性。,130005101,10081,蛮锤
【被动技能】\n高级魔抗。,130005101,10082,蛮锤
【被动技能】\n暂未开放，敬请期待,130005101,10083,蛮锤
【被动技能】\n死亡时提供法力值。升阶后死亡提供法力值上升。,150005201,10091,莱戈拉斯
【被动技能】\n死亡时提供较多法力值。,150005201,10092,莱戈拉斯
【被动技能】\n暂未开放，敬请期待,150005201,10093,莱戈拉斯
【被动技能】\n护盾。升阶后增加护盾的耐久。,120005101,10101,大地之冠
【被动技能】\n强化护盾。,120005101,10102,大地之冠
【被动技能】\n破盾后对周围敌人降速。,120005101,10103,大地之冠
【被动技能】\n减免所有伤害。升阶后血量低于30%后自动回血。,130005501,10111,尼德霍格
【被动技能】\n减免伤害，血量少于30%后自动回血。,130005501,10112,尼德霍格
【被动技能】\n暂未开放，敬请期待,130005501,10113,尼德霍格
【被动技能】\n拥有较高的物理抗性，害怕魔法攻击。升阶后不再害怕魔法攻击。,120001501,10121,苏丹
